"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","max_rho"
"stemming",TRUE,FALSE,FALSE,1,2,0.017944,0.011369,0.02543,0.333391
"none",FALSE,FALSE,FALSE,1,2,0.019438,0.009104,0.029697,0.791467
"lemmatization",FALSE,FALSE,FALSE,1,2,0.027278,0.017922,0.036925,0.822907
"stemming",FALSE,FALSE,FALSE,1,2,0.024684,0.018049,0.031663,0.656786
"none",TRUE,TRUE,TRUE,2,2,0.055006,0.033202,0.079903,0.770067
"lemmatization",TRUE,TRUE,TRUE,2,2,0.01914,-0.016962,0.044867,0.817022
"stemming",TRUE,TRUE,TRUE,2,2,0.091153,0.067978,0.115547,0.745941
"none",FALSE,TRUE,TRUE,2,2,0.064293,0.045891,0.087858,0.787784
"lemmatization",FALSE,TRUE,TRUE,2,2,-0.005045,-0.041558,0.027945,0.639257
"stemming",FALSE,TRUE,TRUE,2,2,0.040404,0.016485,0.062734,0.832184
"none",TRUE,FALSE,TRUE,2,2,0.03465,0.016653,0.056117,0.793983
"lemmatization",TRUE,FALSE,TRUE,2,2,0.047058,0.028889,0.077541,0.762356
"stemming",TRUE,FALSE,TRUE,2,2,0.040745,0.023365,0.064092,0.795756
"none",FALSE,FALSE,TRUE,2,2,0.04624,0.026445,0.068055,0.791941
"lemmatization",FALSE,FALSE,TRUE,2,2,0.065027,0.045123,0.08496,0.726326
"stemming",FALSE,FALSE,TRUE,2,2,0.041047,0.025036,0.061879,0.809185
"none",TRUE,TRUE,FALSE,2,2,0.004147,0.001059,0.007453,0.267177
"lemmatization",TRUE,TRUE,FALSE,2,2,0.01569,0.006662,0.024675,0.763279
"stemming",TRUE,TRUE,FALSE,2,2,0.01903,0.012529,0.025087,0.708514
"none",FALSE,TRUE,FALSE,2,2,0.02248,0.012311,0.032479,0.830997
"lemmatization",FALSE,TRUE,FALSE,2,2,0.019598,0.009054,0.030011,0.833923
"stemming",FALSE,TRUE,FALSE,2,2,0.025628,0.015886,0.035038,0.842204
"none",TRUE,FALSE,FALSE,2,2,0.007702,-0.000431,0.015704,0.332197
"lemmatization",TRUE,FALSE,FALSE,2,2,0.005346,-0.002561,0.012996,0.550114
"stemming",TRUE,FALSE,FALSE,2,2,0.030787,0.021952,0.038854,0.64358
"none",FALSE,FALSE,FALSE,2,2,0.028255,0.018276,0.038455,0.806762
"lemmatization",FALSE,FALSE,FALSE,2,2,0.019561,0.009685,0.029677,0.804295
"stemming",FALSE,FALSE,FALSE,2,2,0.003626,-0.00512,0.011808,0.702219
"none",TRUE,TRUE,TRUE,3,2,0.027982,-5.2e-05,0.049534,0.704646
"lemmatization",TRUE,TRUE,TRUE,3,2,0.073431,0.037015,0.103868,0.676977
"stemming",TRUE,TRUE,TRUE,3,2,0.041979,0.008874,0.07127,0.708463
"none",FALSE,TRUE,TRUE,3,2,0.106814,0.076641,0.136582,0.659585
"lemmatization",FALSE,TRUE,TRUE,3,2,0.073589,0.041802,0.101008,0.708332
"stemming",FALSE,TRUE,TRUE,3,2,0.068758,0.049594,0.093302,0.836529
"none",TRUE,FALSE,TRUE,3,2,0.045231,0.025888,0.067678,0.800903
"lemmatization",TRUE,FALSE,TRUE,3,2,0.048864,0.027339,0.073591,0.805685
"stemming",TRUE,FALSE,TRUE,3,2,0.041004,0.023396,0.061569,0.81242
"none",FALSE,FALSE,TRUE,3,2,0.048844,0.03061,0.069201,0.813582
"lemmatization",FALSE,FALSE,TRUE,3,2,0.045882,0.024307,0.066717,0.811949
"stemming",FALSE,FALSE,TRUE,3,2,0.047822,0.029148,0.069735,0.809606
"none",TRUE,TRUE,FALSE,3,2,0.013648,0.008952,0.018311,0.603862
"lemmatization",TRUE,TRUE,FALSE,3,2,-0.00196,-0.008537,0.005127,0.60924
"stemming",TRUE,TRUE,FALSE,3,2,0.020524,0.015887,0.025553,0.814522
"none",FALSE,TRUE,FALSE,3,2,0.024637,0.014856,0.033754,0.847312
"lemmatization",FALSE,TRUE,FALSE,3,2,0.022477,0.013847,0.031327,0.839634
"stemming",FALSE,TRUE,FALSE,3,2,0.028296,0.019197,0.037618,0.888705
"none",TRUE,FALSE,FALSE,3,2,0.025702,0.018617,0.03259,0.696951
"lemmatization",TRUE,FALSE,FALSE,3,2,0.020196,0.012533,0.027759,0.731026
"stemming",TRUE,FALSE,FALSE,3,2,0.022792,0.013865,0.031271,0.80513
"none",FALSE,FALSE,FALSE,3,2,0.015691,0.007696,0.023551,0.733038
"lemmatization",FALSE,FALSE,FALSE,3,2,0.010669,0.003017,0.018225,0.637841
"stemming",FALSE,FALSE,FALSE,3,2,0.023516,0.013718,0.032696,0.848597
"none",TRUE,TRUE,TRUE,1,3,0.077393,0.05312,0.102244,0.709413
"lemmatization",TRUE,TRUE,TRUE,1,3,-0.012135,-0.042611,0.020068,0.663282
"stemming",TRUE,TRUE,TRUE,1,3,0.059646,0.027385,0.08514,0.829526
"none",FALSE,TRUE,TRUE,1,3,0.034938,0.012951,0.056269,0.814406
"lemmatization",FALSE,TRUE,TRUE,1,3,0.043831,0.016099,0.064891,0.820843
"stemming",FALSE,TRUE,TRUE,1,3,0.043239,0.012166,0.067048,0.78616
"none",TRUE,FALSE,TRUE,1,3,0.052625,0.035521,0.073871,0.79128
"lemmatization",TRUE,FALSE,TRUE,1,3,0.043926,0.024451,0.065422,0.81155
"stemming",TRUE,FALSE,TRUE,1,3,0.028983,0.007163,0.048807,0.79284
"none",FALSE,FALSE,TRUE,1,3,0.044553,0.025143,0.065583,0.815262
"lemmatization",FALSE,FALSE,TRUE,1,3,0.040432,0.023462,0.062211,0.804935
"stemming",FALSE,FALSE,TRUE,1,3,0.037952,0.019699,0.058457,0.821737
"none",TRUE,TRUE,FALSE,1,3,-0.003279,-0.0074,0.000894,0.276743
"lemmatization",TRUE,TRUE,FALSE,1,3,0.020139,0.015045,0.0259,0.724935
"stemming",TRUE,TRUE,FALSE,1,3,0.021758,0.012372,0.031151,0.909049
"none",FALSE,TRUE,FALSE,1,3,0.018845,0.007578,0.029789,0.847465
"lemmatization",FALSE,TRUE,FALSE,1,3,0.022244,0.011673,0.033273,0.852757
"stemming",FALSE,TRUE,FALSE,1,3,0.021197,0.011144,0.030914,0.890028
"none",TRUE,FALSE,FALSE,1,3,0.007612,-0.000996,0.015678,0.673199
"lemmatization",TRUE,FALSE,FALSE,1,3,0.023667,0.016263,0.031395,0.679183
"stemming",TRUE,FALSE,FALSE,1,3,0.03583,0.027341,0.044055,0.783206
"none",FALSE,FALSE,FALSE,1,3,0.013484,0.004909,0.02288,0.774322
"lemmatization",FALSE,FALSE,FALSE,1,3,0.010621,0.00143,0.019667,0.725345
"stemming",FALSE,FALSE,FALSE,1,3,0.002067,-0.005616,0.010023,0.64923
"none",TRUE,TRUE,TRUE,2,3,0.083168,0.061701,0.109944,0.721116
"lemmatization",TRUE,TRUE,TRUE,2,3,0.03286,0.007713,0.055891,0.813115
"stemming",TRUE,TRUE,TRUE,2,3,0.04358,0.021288,0.067405,0.823561
"none",FALSE,TRUE,TRUE,2,3,0.053397,0.03585,0.074873,0.815298
"lemmatization",FALSE,TRUE,TRUE,2,3,0.031739,-0.00139,0.057246,0.811292
"stemming",FALSE,TRUE,TRUE,2,3,0.122078,0.094329,0.150095,0.693342
"none",TRUE,FALSE,TRUE,2,3,0.026728,0.000368,0.053495,0.588799
"lemmatization",TRUE,FALSE,TRUE,2,3,0.037532,0.018077,0.060501,0.793649
"stemming",TRUE,FALSE,TRUE,2,3,0.036948,0.020192,0.060913,0.795782
"none",FALSE,FALSE,TRUE,2,3,0.03571,0.018473,0.056809,0.7993
"lemmatization",FALSE,FALSE,TRUE,2,3,0.036125,0.015944,0.054245,0.796259
"stemming",FALSE,FALSE,TRUE,2,3,0.045608,0.028797,0.066928,0.812727
"none",TRUE,TRUE,FALSE,2,3,0.022172,0.01511,0.029457,0.616675
"lemmatization",TRUE,TRUE,FALSE,2,3,0.006251,0.001325,0.011056,0.212017
"stemming",TRUE,TRUE,FALSE,2,3,0.035761,0.027803,0.043915,0.831609
"none",FALSE,TRUE,FALSE,2,3,0.022237,0.012406,0.03134,0.843998
"lemmatization",FALSE,TRUE,FALSE,2,3,0.018592,0.010667,0.026409,0.807958
"stemming",FALSE,TRUE,FALSE,2,3,0.021242,0.010776,0.031491,0.871975
"none",TRUE,FALSE,FALSE,2,3,0.027084,0.018699,0.035169,0.485346
"lemmatization",TRUE,FALSE,FALSE,2,3,-0.006898,-0.014372,0.000671,0.171792
"stemming",TRUE,FALSE,FALSE,2,3,0.021959,0.01267,0.031167,0.84817
"none",FALSE,FALSE,FALSE,2,3,0.025368,0.014262,0.035619,0.791397
"lemmatization",FALSE,FALSE,FALSE,2,3,0.018291,0.00801,0.027886,0.784234
"stemming",FALSE,FALSE,FALSE,2,3,0.025485,0.016936,0.033665,0.677449
"none",TRUE,TRUE,TRUE,3,3,0.060646,0.018965,0.108054,0.582172
"lemmatization",TRUE,TRUE,TRUE,3,3,-0.02093,-0.055085,0.011648,0.601097
"stemming",TRUE,TRUE,TRUE,3,3,0.077568,0.055235,0.101691,0.802561
"none",FALSE,TRUE,TRUE,3,3,0.083057,0.05587,0.107576,0.734469
"lemmatization",FALSE,TRUE,TRUE,3,3,0.075121,0.052087,0.100884,0.798449
"stemming",FALSE,TRUE,TRUE,3,3,0.024472,-0.005248,0.049363,0.802199
"none",TRUE,FALSE,TRUE,3,3,0.041567,0.019993,0.06188,0.770758
"lemmatization",TRUE,FALSE,TRUE,3,3,0.037037,0.017421,0.055401,0.806288
"stemming",TRUE,FALSE,TRUE,3,3,0.074204,0.0426,0.100851,0.657906
"none",FALSE,FALSE,TRUE,3,3,0.003551,-0.026141,0.036685,0.654179
"lemmatization",FALSE,FALSE,TRUE,3,3,0.08253,0.053391,0.106014,0.772006
"stemming",FALSE,FALSE,TRUE,3,3,0.016262,-0.008545,0.042856,0.593698
"none",TRUE,TRUE,FALSE,3,3,0.00911,0.006235,0.012015,0.637536
"lemmatization",TRUE,TRUE,FALSE,3,3,0.01172,0.009247,0.014476,0.330279
"stemming",TRUE,TRUE,FALSE,3,3,0.027038,0.021581,0.032058,0.87395
"none",FALSE,TRUE,FALSE,3,3,0.019661,0.013658,0.026069,0.811023
"lemmatization",FALSE,TRUE,FALSE,3,3,0.025117,0.016729,0.033502,0.877599
"stemming",FALSE,TRUE,FALSE,3,3,0.022915,0.013158,0.033161,0.886308
"none",TRUE,FALSE,FALSE,3,3,0.036486,0.028495,0.04402,0.794579
"lemmatization",TRUE,FALSE,FALSE,3,3,-0.007288,-0.014672,-9e-05,0.54111
"stemming",TRUE,FALSE,FALSE,3,3,0.039218,0.030976,0.047521,0.803857
"none",FALSE,FALSE,FALSE,3,3,0.023579,0.017228,0.030474,0.685011
"lemmatization",FALSE,FALSE,FALSE,3,3,0.03179,0.023836,0.039835,0.796652
"stemming",FALSE,FALSE,FALSE,3,3,0.025296,0.016164,0.034042,0.847343
